Symbol;startDate;endDate;buyPrice;sellPrice;Quantity;PL;PL(%);Price Low;Price High
TSLA;2024-10-02;2024-10-08;242,64;239,2;5;-17,2;-1,43;237,81 US$;251,16 US$
TSLA;2024-10-08;2024-10-09;241,41;232,88;5;-42,65;-3,6;239,51 US$;247,43 US$
TSLA;2024-10-10;2024-10-10;218,74;219,7;10;9,6;0,44;232,34 US$;242,79 US$
TSLA;2024-10-10;2024-10-10;225,24;220,8;5;-22,2;-1,99;232,34 US$;242,79 US$
TSLA;2024-10-09;2024-10-10;229,11;214,76;5;-71,75;-6,47;232,34 US$;247,43 US$
TSLA;2024-10-11;2024-10-16;238,88;239,13;10;2,5;0,1;213,74 US$;224,26 US$
TSLA;2024-10-11;2024-10-18;234,29;239,13;10;48,4;2,04;213,74 US$;224,26 US$
TSLA;2024-10-11;2024-10-23;241,41;240,45;2;-1,92;-0,4;212,11 US$;224,26 US$
TSLA;2024-10-23;2024-10-23;244,96;240,45;3;-13,53;-1,86;212,11 US$;218,72 US$
TSLA;2024-10-10;2024-10-23;267,6;266,105;5;-7,48;-0,56;212,11 US$;242,79 US$
TSLA;2024-10-09;2024-10-24;272,68;282,36;5;48,4;3,49;212,11 US$;262,12 US$
TSLA;2024-10-08;2024-10-24;304,165;312,94;10;87,75;2,84;212,11 US$;262,12 US$
TSLA;2024-10-25;2024-10-25;306,45;336,9;5;152,25;9,47;255,32 US$;269,49 US$
TSLA;2024-11-06;2024-11-06;364,7698;389,28;10;245,1;6,5;275,62 US$;289,59 US$
